Review,Annotator_Sakib,Annotator_Sabbir,Annotator_Talha,Sentiment
"ডেলিবারিটা ঠিকঠাক ভাবে পেয়েছি, ধন্যবাদ। সেলার যতেস্ট দায়িত্বশীল, আমি যা চেয়েছি সব কিছু আমাকে দিয়েছেন। ধন্যবাদ। ❤️❤️❤️",StronglyPositive,StronglyPositive,StronglyPositive,
"ধন্যবাদ। অনেক সুন্দর একটা ফেন, সেলার ও অনেক ভালো যে কালার চায়ছি ওইটায় দিছে ধন্যবাদ সেলার ।🥰",StronglyPositive,StronglyPositive,StronglyPositive,
এই দামে সেরা স্মার্ট টিভি ✌️ ২ দিনেই ডেলিভারি পেয়েছি। সাথে ওয়ারেন্টি পেপারস এবং টিভি সেট করার সামগ্রী দেয়া হয়েছে। খুবই স্যাটিসফাই আমি।,StronglyPositive,StronglyPositive,StronglyPositive,
দারাস থেকে এই প্রথম কোনো কিছু অর্ডার করলাম আলহামদুলিল্লাহ খুব ভালো অসংখ্য ধন্যবাদ জানাচ্ছি দারাসকে। 🌹🌹🌹🥀,StronglyPositive,Positive,Positive,
অসাধারণ প্রোডাক্টটি খুব সুন্দর সাইজ টাও পারফেক্ট চাইলে নিতে পারেন সব মিলিয়ে অসাধারণ 💕,Positive,Positive,Positive,
আপনাদের কাছে কি চাই আর এসব কি দেন । আমি হুক ছাড়া কাঁধে কিভাবে নিব । আজাইরা প্রডাক্ট 😤,SlightlyNegative,SlightlyNegative,SlightlyNegative,
মোটামোটি। তেমন ভালো না 🙁,Negative,Neutral,Neutral,
আলহামদুলিল্লাহ যেমনটা চেয়েছি ঠিক তেমনটাই পেয়েছি আমার গায়ে ভাল লাগার কারণে আমার বন্ধু আর একটি অর্ডার দিতে বলেছে ক্রেতাদের উৎসাহ দিচ্ছি খুব ভালো😊🖤,StronglyPositive,StronglyPositive,StronglyPositive,
আপনার ঘড়ি আমাদের পাঠানোর আগে আমাদের বলা উচিৎ ছিল আপনার ঘড়ির ডিসপ্লে ফাটা। ডিসপ্লে ফাটা প্রোডাক্ট এ কিভাবে ওয়ারেন্টি আশা করেন এটাই বুঝলাম না। আর গালিগালাজ দিয়ে বংশের পরিচয় ভালোই দিলেন। আল্লাহ আপনার হেদায়াত দেক।,Negative,StronglyNegative,StronglyNegative,
1 মাস ইউস করার পর রিভিউ দিচ্ছি। এখন পর্যন্ত আলহামদুলিল্লাহ কোন প্রব্লেম হয় নি। পেকিং ভাল ছিল। অতিরিক্ত স্ট্র্যাপ টি খুব একটা ভাল ছিল না। কিন্তু ওয়াছ এর সাথের স্ট্র্যাপ টা ভাল ছিল। আপনারাও চাইলে নিতে পারেন। সেলার খুব অমাইক ভাল লোক।,Positive,Positive,Positive,
এক কথায় অসাধারন।।সেন্সর একিউরেসি ১০০তে ৯৯.৯৯ সাথে কথা মত একটা স্ক্রিন প্রটেক্টর আর গেঞ্জি দিয়েছে।আর সবচেয়ে বড় কথা মোশন ভিঊ মানেই বিশ্বাসের আরেক নাম।।চোখ বুঝে এদের কাছ থেকে যেকোন জিনিস কিনতে পারেন।।চ্যাট রেসপন্স বলার মত ছিল।।।কালো বেল্টটা অসাধারন দেখতে।।কল কোয়ালিটিও অসাধারন।।একটা কাছে নিয়ে কথা বলতে হবে।।সব মিলিয়ে আমি অনেক খুশি,StronglyPositive,StronglyPositive,StronglyPositive,
"I'm impressed. মোশন ভিউ থেকে এই প্রথম কোন প্রোডাক্ট নিলাম। প্যাকেটও ঠিকঠাক ছিল, আর গেঞ্জির সাইজটা পারফেক্ট ছিল। সব মিলিয়ে অসাধারণ। ধন্যবাদ #দারাজ এত সুন্দর প্যাকেজিং এবং সেফলি ডেলিভারি দেওয়ার জন্য। তবে একটা কথা না বললেই নয়, প্রোডাক্টটি অর্ডার করার পরে হাতে পাইতে ৮ দিন সময় লেগেছে । তারপরও অনেক খুশি 100% অরজিনাল প্রোডাক্ট দেয়ার জন্য।",StronglyPositive,StronglyPositive,StronglyPositive,
"ঘড়িটা অনেক সুন্দর আর প্রিমিয়াম লুকিং ছিলো। অন্যান্য শপের চাইতে ৩০০ থেকে ১০০০ টাকা কম ছিলো। সেলারকে অনেক ধন্যবাদ এই দাম প্রোভাইড করার জন্য। আরো ধন্যবাদ প্রোডাক্টটা নেওয়ার সময় স্টকে ছিলো না। সেলারকের ম্যাসেজ দিয়ে রিকুয়েষ্ট করার পর ১ দিনের মধ্যেই আবার স্টকে নিয়ে আসছে😍😍😍। আর দারাজকে ধন্যবাদ না দিলেই নয়। কারন দারাজ থেকে ৪৫০ টাকার লাইভ ভাউচার পেয়ে ৪৫০ টাকা আরো ডিসকাউন্ট এ নিতে পারছি😍। সেলার আর দারাজ এর এতো সুন্দর কম্বিনেশন খুবই ভালো লাগলো। লোকাল দোকানে এটা ৬০০০ টাকায় বিক্রি করে। অনেক অনেক শুভ কামনা দারাজের জন্য। #Loveudaraz #Loveumotionview😍😍😍 দারাজের সাথেই আছি, মোশন ভিউর সাথেই আছি, সাথেই থাকবো ইনশা আল্লাহ। 😍😍😍😍",StronglyPositive,StronglyPositive,StronglyPositive,
"একদিনের মধ্যে ডেলিভারি পেয়েছি,অসাধারণ সার্ভিস কোয়ালিটি সেলারের। motion view এদের সম্পর্কে আগেই ফেসবুকে, ইউটিউবে অনেক ভালো ভালো রিভিউ দেখেছি। এবার প্রমাণ পেলাম। ধন্যবাদ Motion view, ধন্যবাদ Daraz কে। এই টাইপের সেলারদের জন্য Daraz এর প্রতি ভালোবাসা বাড়ে। প্রোডাক্ট রিভিউ ব্যবহার করে তার পরে দেব।",Positive,Positive,Positive,
Highly recommended.. খুবই সুন্দর ফ্রেমটা। অরিজিনাল ফ্রেমই দিয়েছে বলা যায়। ছবির সাথে ১০০% মিল রয়েছে। ধন্যবাদ সেলারকে।,StronglyPositive,StronglyPositive,StronglyPositive,
ফ্রেমের হাতলগুলো সুবিধার না। পাল্টা স্টিলের সহজেই বাকা হয়ে যাবে। Most importantly এটা এন্টি ব্লু লাইট গ্লাস হিসেব কাজ করে না। একদমই সাধারণ ফ্রেম চশমা। এর দাম ২০০ এর বেশি হওয়া উচিতই না।,Negative,SlightlyNegative,SlightlyNegative,
"গতকাল হাতে পেলাম , অরিজিনাল প্রোডাক্ট পেয়েছি ৷ কাল এবং আজ ইউজ করেছি মনে হচ্ছে ভালো ৷ বাকিটা কিছু দিন পরে বলা যাবে ৷",Neutral,Neutral,Neutral,
প্রোডাক্ট এর পেকেট এর গায়ের MFG DATE এবং BATCH NO এর সাথে ভেতরে থাকা প্রোডাক্ট (বোতল) এর গায়ে থাকা MFG DATE এবং BATCH NO এর কোন মিল নাই এবং সম্পূর্ণ খোলা ছিল। সব কিছু বিবেচনা করে বলা যায় এটি ১০০% ডুপ্লিকেট প্রোডাক্ট । দয়া করে সবাই এই সপের কোন প্রোডাক্ট কেনা থেকে বিরত থাকুন।আমি টাকা ফেরত না পাইলে আইনি ব্যবস্থা নিব।,Negative,Negative,Negative,
"ধন্যবাদ সেলার কে সেম প্রোডাক্ট দেওয়ার জন্য চার্জ ব্যাকআপ ৩ ঘন্টা পেয়েছি, অরজিনাল প্রোডাক্ট পেয়েছি, সেলারের ব্যবহারও খুব আন্তরিক, সবাই নিতে পারেন, ধন্যবাদ।",Positive,Positive,Positive,
চার দিনের মাথায় ডেলিভারি পেয়েছি ১ ঘন্টা চললে টিভির পিছনে খুব গরম হয়.... তারপরও এখন ব্যবহার করে দেখি সার্ভিস কেমন,Negative,Negative,Negative,
পিকচার আর সাউন্ড কোয়ালিটি খুবই ভালো।টিভি টা এক কথায় অসাধারণ।,StronglyPositive,StronglyPositive,StronglyPositive,
"টিভির কোয়ালিটি অনেক ভালো, দাম হিসেবে টিভির মান খুবই ভালো। পিকচার কোয়ালিটি খুবই ভালো। আর সেলারের ব্যবহারও অনেক ভালো। সবচেয়ে ভালো লেগেছে ডেলিভারির বয়ের ব্যবহার। ডেলিভারি পার্টনার ছিল e-desh কোরিয়ার সার্ভিস।",StronglyPositive,StronglyPositive,StronglyPositive,
"ওয়াও এক কথাই বলতে গেলে অসাধারণ। এত অল্প দামে এত ভালো টিভি পাব ভাবতেই পারিনি। ফেসবুক, ইউটিউব সহ সব চালানো যায় নেট দিয়ে। নিতে পারেন চোখ বন্ধ করে কোন নেগেটিভ সাইড নেই। অার হ্যা ডেলিভারি পেয়েছি মাত্র ২দিনে। সেলার ও দারাজ কে ধন্যবাদ।",StronglyPositive,StronglyPositive,StronglyPositive,
"একদম অরিজিনাল স্যামসাং এর প্রোডাক্ট। সেলার কে অনেক অনেক অনেক ধন্যবাদ। ১ দিনের মধ্যে হাতে পেয়েছি।প্যাকেটিং টা অনেক ভাল ছিল।ডেলিভারি ম্যান অনেক সতর্কতার সহিত পণ্যটি পৌঁছে দিয়ে গিয়েছে।ওয়ারেন্টি কার্ড, মেম সাব পেয়েছি।দারাজ কে অনেক অনেক অনেক ধন্যবাদ। এখন সার্ভিসটা কেমন দেয় এটাই দেখার বিষয়।",StronglyPositive,StronglyPositive,StronglyPositive,
"ধন্যবাদ ইলেক্ট্রো ওয়ার্ল্ড করপোরেশন কে খুব সুন্দর ভাবে স্যামসাং অর্জিনাল স্মার্ট ৩২"" টিভি খুব দ্রুত সময়ে ডেলিভারি দেবার জন্য।টিভির সাথে সমস্ত কিছু ঠিকঠাক পেয়েছি।সেলারের রিসপন্স ছিল খুব ভাল এবং ডেলিভারি ম্যান ও ভাল ভাবে বাসায় এসে প্রডাক্ট ডেলিভারি করেছে।সর্বশেষ ধন্যবাদ জানাই দারাজ কে সাধ্যের মধ্যে পছন্দ প্রডাক্ট পারসেস করতে পারার জন্য।",StronglyPositive,StronglyPositive,StronglyPositive,
ডেলিভারি সার্ভিস ভালো না । ডেলিভারি দেওয়ার কথা দুদিন আগে কিন্তু বারবার কল দেয় কিন্তু ডেলিভারি দিতে আসে না ।,Negative,Negative,Negative,
